name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,15,3,P3,k4,cegar3,0,21.90s,SAT,5,0.18s,2,346,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,15,3,P3,k6,cegar3,0,173.77s,SAT,9,0.15s,2,1330,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,16,3,P3,k1,cegar3,0,0.08s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,16,3,P3,k2,cegar3,0,0.27s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,16,3,P3,k4,cegar3,0,15.50s,SAT,7,0.18s,2,215,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,16,3,P3,k6,cegar3,0,215.50s,SAT,13,0.15s,2,1296,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,17,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,17,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,17,3,P3,k4,cegar3,0,0.13s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,17,3,P3,k6,cegar3,0,3.01s,SAT,4,0.31s,4,56,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,18,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,18,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,18,3,P3,k4,cegar3,0,0.20s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,18,3,P3,k6,cegar3,0,17.85s,SAT,7,0.26s,4,244,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,19,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,19,3,P3,k2,cegar3,0,0.12s,UNSAT,2,,,0,0.00s
