name,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
S1_2009_Sahin_et_al,P3,k4,naive,0,7.33s,SAT,0,0.10s,0,12,0.00s
S1_2009_Sahin_et_al,P3,k6,cegar1,124,596.38s,TO,259,0.99s,22,12,0.00s
S1_2009_Sahin_et_al,P3,k6,cegar2,124,591.86s,TO,258,0.91s,21,12,0.00s
S1_2009_Sahin_et_al,P3,k6,cegar3,0,0.14s,SAT,2,0.03s,1,12,0.00s
S1_2009_Sahin_et_al,P3,k6,cegar4,0,0.14s,SAT,2,0.02s,1,12,0.00s
S1_2009_Sahin_et_al,P3,k6,complementary,0,1.14s,SAT,0,0.04s,0,12,0.00s
S1_2009_Sahin_et_al,P3,k6,naive,124,16.35s,TO,0,0.02s,0,12,0.00s
S2_2012_Wynn_et_al,P3,k1,cegar1,0,0.09s,UNSAT,6,,,0,0.00s
S2_2012_Wynn_et_al,P3,k1,cegar2,0,0.12s,UNSAT,7,,,0,0.00s
S2_2012_Wynn_et_al,P3,k1,cegar3,0,0.03s,UNSAT,2,,,0,0.00s
S2_2012_Wynn_et_al,P3,k1,cegar4,0,0.02s,UNSAT,2,,,0,0.00s
S2_2012_Wynn_et_al,P3,k1,complementary,0,0.03s,UNSAT,0,,,0,0.00s
S2_2012_Wynn_et_al,P3,k1,naive,0,0.20s,UNSAT,0,,,0,0.00s
S2_2012_Wynn_et_al,P3,k2,cegar1,0,1.68s,SAT,31,0.53s,19,9,0.00s
S2_2012_Wynn_et_al,P3,k2,cegar2,0,1.61s,SAT,31,0.52s,19,9,0.00s
S2_2012_Wynn_et_al,P3,k2,cegar3,0,0.13s,SAT,4,0.05s,3,9,0.00s
S2_2012_Wynn_et_al,P3,k2,cegar4,0,0.11s,SAT,4,0.04s,3,9,0.00s
S2_2012_Wynn_et_al,P3,k2,complementary,0,0.12s,SAT,0,0.12s,0,9,0.00s
S2_2012_Wynn_et_al,P3,k2,naive,0,2.47s,SAT,0,0.57s,0,9,0.00s
S2_2012_Wynn_et_al,P3,k4,cegar1,124,594.36s,TO,269,0.57s,20,19,0.00s
S2_2012_Wynn_et_al,P3,k4,cegar2,124,595.61s,TO,268,4.71s,52,18,0.00s
S2_2012_Wynn_et_al,P3,k4,cegar3,0,0.26s,SAT,5,0.05s,3,19,0.00s
S2_2012_Wynn_et_al,P3,k4,cegar4,0,0.21s,SAT,5,0.04s,3,19,0.00s
S2_2012_Wynn_et_al,P3,k4,complementary,0,4.97s,SAT,0,0.12s,0,19,0.00s
S2_2012_Wynn_et_al,P3,k4,naive,0,152.21s,SAT,0,0.39s,0,19,0.00s
S2_2012_Wynn_et_al,P3,k6,cegar1,124,596.95s,TO,298,1.88s,35,15,0.00s
S2_2012_Wynn_et_al,P3,k6,cegar2,124,597.30s,TO,286,18.26s,87,10,0.00s
S2_2012_Wynn_et_al,P3,k6,cegar3,0,0.33s,SAT,4,0.05s,3,31,0.00s
S2_2012_Wynn_et_al,P3,k6,cegar4,0,0.37s,SAT,5,0.06s,4,31,0.00s
S2_2012_Wynn_et_al,P3,k6,complementary,0,24.87s,SAT,0,0.11s,0,31,0.00s
S2_2012_Wynn_et_al,P3,k6,naive,124,378.70s,TO,0,0.32s,0,23,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k1,cegar1,0,0.13s,UNSAT,8,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k1,cegar2,0,0.14s,UNSAT,8,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k1,cegar3,0,0.03s,UNSAT,2,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k1,cegar4,0,0.02s,UNSAT,2,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k1,complementary,0,0.03s,UNSAT,0,,,0,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k1,naive,0,0.18s,UNSAT,0,,,0,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k2,cegar1,0,1.18s,UNSAT,26,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k2,cegar2,0,1.11s,UNSAT,26,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k2,cegar3,0,0.03s,UNSAT,2,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k2,cegar4,0,0.02s,UNSAT,2,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k2,complementary,0,0.10s,UNSAT,0,,,0,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k2,naive,0,2.42s,UNSAT,0,,,0,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k4,cegar1,124,597.38s,TO,262,158.04s,180,6,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k4,cegar2,124,594.99s,TO,264,128.62s,163,6,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k4,cegar3,0,0.16s,SAT,3,0.05s,3,12,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k4,cegar4,0,0.13s,SAT,3,0.04s,3,12,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k4,complementary,0,4.14s,SAT,0,4.08s,0,12,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k4,naive,0,151.59s,SAT,0,28.75s,0,12,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k6,cegar1,124,598.74s,TO,297,,,0,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k6,cegar2,124,599.38s,TO,288,193.16s,197,6,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k6,cegar3,0,0.20s,SAT,3,0.05s,3,18,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k6,cegar4,0,0.21s,SAT,3,0.05s,3,18,0.00s
S3_2018_Kasemeier-Kulesa_et_al,P3,k6,complementary,0,64.46s,SAT,0,4.14s,0,18,0.01s
S3_2018_Kasemeier-Kulesa_et_al,P3,k6,naive,124,371.92s,TO,0,73.56s,0,16,0.01s
S4_2019_Biane_and_Delaplace,P3,k1,cegar1,0,0.12s,SAT,6,0.03s,2,6,0.00s
S4_2019_Biane_and_Delaplace,P3,k1,cegar2,0,0.13s,SAT,6,0.03s,2,6,0.00s
S4_2019_Biane_and_Delaplace,P3,k1,cegar3,0,0.06s,SAT,1,0.02s,1,6,0.00s
S4_2019_Biane_and_Delaplace,P3,k1,cegar4,0,0.05s,SAT,1,0.02s,1,6,0.00s
S4_2019_Biane_and_Delaplace,P3,k1,complementary,0,0.02s,SAT,0,0.02s,0,6,0.00s
S4_2019_Biane_and_Delaplace,P3,k1,naive,0,0.12s,SAT,0,0.02s,0,6,0.00s
S4_2019_Biane_and_Delaplace,P3,k2,cegar1,0,0.21s,SAT,10,0.03s,2,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k2,cegar2,0,0.21s,SAT,10,0.03s,2,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k2,cegar3,0,0.08s,SAT,1,0.02s,1,9,0.00s
